title,price,link,sold,location,category
"Yellow Corn Tortilla Frozen (Kulit Nachos), 100% Jagung, 500gr, 15cm",Rp29.000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jp6AjRHpnDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rh6_1p6_JNoZFiyRCsUstpo_nFbm-FQRo2PcB5QiUEHZFiy3hSUstiyfV7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pHObAUf6_yDHsrpHu7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sHpHadhH_KRosnRo_eF6AKOoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepzN_uz081Y1gRB6zV1a_uzzP7OEu9Pve7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqjjp_32s81NEZ_ooqMoN_S2-H7ONZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1Bd_OzoHVBkzMBqq_nF_jz3q7h11MBgHBV7332zHOB2HIxquV1h_32VHJO9Z_-gu7u2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32go1ND6IPy8j-M_1yNgjOc6IPy8j-M_1o-r7BX_M2iH72D3A-G83UpgI2q17jfZ32o8jONoIxoucrp_M2CH7N119Pvzcrh_MB-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32u8jNAoACvucHh_uzgH7Y1Z9BouVBEZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sHhHaFirI-2yfuwyMBjUstpo_nFbm-SQfVD9fBjUstpwe?pub_domain=0&ob=23&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Flivehealthy%2Fyellow-corn-tortilla-frozen-kulit-nachos-100-jagung-500gr-15cm-15cm%3Fsrc%3Dtopads&pub_unit=0&page=1&src=directory&management_type=1&dv=desktop&pub_id=0,,Jakarta Pusat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
100% Dark Chocolate Powder / Bubuk Coklat Asli Premium 100g,Rp74.990,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AedopyaH_UDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rh6_1p6_JNoZFiyRCsUsth6A1Fbm-FQRo2PcB5QiUEHiFiy3hSUstiyfV7UiFiQSuWyMua9fYM9fVjraUEH_1DUMNOQ3-BrBYxgIowrMuhUsthoZFiyfV79fBjraUE3pHObAUf6_yDHsrRoV7DUMNwyfVXgcBjy9zB9fVjraUEH_eFbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstigcuMUiFiPMuarfB5QiUEUSyaUiFiy3zwrfo5rM1i6sHpHidOHAedHAJNHpJp6_ndHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_VHqBjO_uzCH1NkqRxozV1a_OzVP7N_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1Bd_OzoHVBkzMBqq_nF_jz3q7h11MBgHBV7332zHOB2HIxquV1h_32VHJO9Z_-gu7u2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32go1ND6IPy8j-M_1yNgjOc6IPy8j-M_1o-r7BX_M2iH72D3A-G83UpgI2q17jfZ32o8jO2oAVozVJ7_1zVo1OEz92vuJJ7_9B-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32zo1N_oA-6zcrp_7zu8jOke9B68BBR_9BG6ZUDUMoDP9o7g9-wq3zwPsUi6sHh6ArNbm-FrMBsguYiq3ei6sJdo_nDUMP5y3hwq3ei6soY?r=https%3A%2F%2Fwww.tokopedia.com%2Fhomelabid%2F100-dark-chocolate-powder-bubuk-coklat-asli-premium-100g%3Fsrc%3Dtopads&pub_unit=0&pub_domain=0&ob=23&dv=desktop&src=directory&pub_id=0&t=desktop&page=1&management_type=1,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Pewarna Makanan Cross 20 ml / Food Colouring,Rp12.000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsJNHArho_Habm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_jOHpjh6_1DUMoFyaUEHsnOHmFircYpq9z2Qfdi6sHDUMVDgaUEUMoxPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURosxPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpH_nX6_U76Anp6_KaHpnFoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_oHqBjO_32oP7NE3_uoqjOR_S2go1Oku3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_uz08jNIZ9xgQuB7_jzzHu2AHACgQ1N0_VP-HJdaZ9zouO1h_Bz-8JNJzMB6Q1gtZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY23I2-HjY13MgozsxR3I2mgBxEeMgozsxR3I2Cq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-8jO1e9uvuJjF_7zC8jY1gRBo8jVR_Bo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32zo1NAoIxvucDh_uz0o1O1z9P6zVuNZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sJdHp1abm-FrMBsguYiq3ei6sUFo_nDUMP5y3hwq3ei6soY?page=1&src=directory&pub_domain=0&dv=desktop&t=desktop&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fcakraboga%2Fpewarna-makanan-cross-20-ml-food-colouring-sweet-black-d848a%3Fsrc%3Dtopads&pub_unit=0&management_type=2&pub_id=0,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Zeelandia ZIMUFFIN VANILLA 1 Kg,Rp43.470,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Hao_nNopy7bm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_jOHpjh6_1DUMoFyaUEHs1FHmFircYpq9z2Qfdi6seDUMVDgaUEUMoxPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURopuPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHseXH_eOHseFHAeNH_UdHsHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1o-r7BW_sCsQABE3BPc8ujagfBvq1BRZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkz_uo8B-2_uPGQ1h11_C6uOV7_jPGqB2AH3B6zcz2_VzcQJN1u9BouVVd332qqVB_Z9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBD6IB6qMDa3I2mgjOc6IPyH_xR3I2mgjOc6IP-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBo8jjF_c2VHJN1Z_CozJJF_OzV81YJZ92-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfB6zcrF_c2s8JNkqRxouV1h_7z081N1e_--QsnYUiFiyfhOrRzBrBY2gVYfHiUEoAURHmFirI-2yfuwyMBjUstao_nFbm-SQfVD9fBjUstpwe?r=https%3A%2F%2Fwww.tokopedia.com%2Fzeelandiastore%2Fzeelandia-zimuffin-vanilla-1-kg%3Fsrc%3Dtopads&pub_unit=0&t=desktop&dv=desktop&management_type=1&pub_id=0&pub_domain=0&ob=23&src=directory&page=1,,Tangerang,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
swallow globe agar,Rp48.400,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_Jp6_HNopnNbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_jOHpjh6_1DUMoFyaUEH_1FHmFircYpq9z2Qfdi6s1DUMVDgaUEUMoxPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURopgPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHAyXH_U76AeFoAraosep6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB6e7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32Vo1OE1MBou72W_VzzHJN919z6z72k3jHhq1NJgcBHuJgD_Bzu81O119xgqB2t3uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81Nkqp-y8j-M_1ydPOKh6IPy8j-M_1ydP7B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OEe_-HqjuN_jzSHJOJ1_ooqBjF_920q1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-HJYJ_9uo8jOE_32uHJNEe_ovzcrF_BoG6ZUDUMoDP9o7g9-wq3zwPsUi6sHFHsHObm-FrMBsguYiq3ei6sJOHAnDUMP5y3hwq3ei6soY?t=desktop&dv=desktop&src=directory&pub_domain=0&ob=23&management_type=2&r=https%3A%2F%2Fwww.tokopedia.com%2F57healthstore%2Fswallow-globe-agar-cokelat-c98ef%3Fsrc%3Dtopads&pub_unit=0&pub_id=0&page=1,,Jakarta Pusat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Citric Acid Monohydrate / Asam Sitrat / Citrun 1Kg,Rp20.000,https://www.tokopedia.com/multijayakimia/citric-acid-monohydrate-asam-sitrat-citrun-1kg?extParam=ivf%3Dfalse,,Tangerang Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
BAKING SODA MERK Arm & Hammer Baking Soda 454gr,Rp23.500,https://www.tokopedia.com/kaifafoodcom/baking-soda-merk-arm-hammer-baking-soda-454gr?extParam=ivf%3Dtrue,,Jakarta Timur,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
"Gelatin Bubuk / Gelatin Sapi, Gelatin Powder HAYS ",Rp19.900,https://www.tokopedia.com/haysfoodofficial/gelatin-bubuk-gelatin-sapi-gelatin-powder-hays?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Tulip Chocolatier Chocolate Paste 1Kg,Rp46.000,https://www.tokopedia.com/kioskcokelat/tulip-chocolatier-chocolate-paste-1kg?extParam=ivf%3Dfalse,,Jakarta Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Baking Soda / Soda Kue / Sodium Bicarbonate (1 kg),Rp14.500,https://www.tokopedia.com/maximum/baking-soda-soda-kue-sodium-bicarbonate-1-kg?extParam=ivf%3Dfalse,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
