title,price,link,sold,location,category
"Yellow Corn Tortilla Frozen (Kulit Nachos), 100% Jagung, 500gr, 15cm",Rp29.000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jp6AjRHpnDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_raH_r7opy76mFiyRCsUstpo_nFbm-FQRo2PcB5QiUEHZFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURHpVPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHpjXosnf6ArOH_Kp6AJO6ZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepea_92zo1Oke_-o8BJO_32CHjOE1_u-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6uVJh_jzuHJN11_V6zV1F_BzzHjB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1NW_M2jqJN13_zHucxt_92CPJNI3_uo8_nO33OVHJh13_u6uVg2_BzsH1NE_9Pq17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_M20HBxEeMgozsxR3AJdPOxEeMgozsxRZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_92oo1hk39P6qMrp_BzVoJOEgRx6ucW2_JoG8Bja69BqusBE3BPc8ujagfBvq1jh_92CP1OkqRB6uJ17_7zVHJYJ392681tNUiFiyfhOrRzBrBY2gVYfHiUEHpJpbm-FrMBsguYiq3ei6sHOHAnDUMP5y3hwq3ei6soY?pub_id=0&pub_domain=0&ob=23&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Flivehealthy%2Fyellow-corn-tortilla-frozen-kulit-nachos-100-jagung-500gr-15cm-15cm%3Fsrc%3Dtopads&src=directory&t=desktop&page=1&pub_unit=0&management_type=1,,Jakarta Pusat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Air Daun Suji | Air Perasan Daun Suji,Rp25.000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HdH_yFHpnabm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsJRoArfoAKDUMoFyaUEH_KFHmFircYpq9z2Qfdi6sUDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHp1DHsyNoiFaopyd9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpJdbsehosyOo_ja6_1dHpeDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_3j78jN1Z_u6zJud_S2gHJNEe_VvzcPEZ3BRqujp1SByH7ND3uxGqMVAZ_g-qMoO_uzz81YJu_oouVVN_7zuH7O119B-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3O6Q1Nkgcx6uVj7_VztqJOEe9z6zOjO_9jFouBWz_CHuVjO_Bz3q1N1ypV68jOR3Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81Nkqp-y8j-M_1ydPOKh6IPy8j-M_1ydP7B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OEz_zHqBVd_M2gH1N1qRBvuV17_92zq1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-HJY1gRuo8j7O_jzCo1OJgpuo8BBR_9BG6ZUDUMoDP9o7g9-wq3zwPsUi6seaHpKabm-FrMBsguYiq3ei6sJdHAnDUMP5y3hwq3ei6soY?ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fescendolelizabeth%2Fair-daun-suji-air-perasan-daun-suji%3Fsrc%3Dtopads&src=directory&pub_domain=0&t=desktop&page=1&pub_unit=0&dv=desktop&pub_id=0&management_type=2,,Jakarta Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
"Yellow Corn Tortilla Frozen (Kulit Nachos), 100% Jagung, 500gr, 12cm",Rp29.000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_raH_ndHAJDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_raH_r7opy76mFiyRCsUstpo_nFbm-FQRo2PcB5QiUEHaFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURHpVPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHpUX6_naHseaopjhHpj7oiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepzN_jzzHJY1gpo68MHh_1zg8JO1Z_C6q1BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_-HqBja_M2gHjNk3_-6qBja_M2gHjNNZ9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq12k3M2gHOB1u_-vepn73uzoP7h11MOvuJO7_OPGqJNAHA-vuV1h332uH7N1yR2ozOu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12M_32go1ND6IPy8j-M_1yNgjOc6IPy8j-M_1o-r7BX_M2iH72D3A-G83UpgI2q17jfZ32o8jO2oAuozJBN_jz-H7Y1z92vuVJaZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_jzgo1hk3_zvzcDh_jz-o1Y1ypuoucHaZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6sHhHaFirI-2yfuwyMBjUstpo_nFbm-SQfVD9fBjUstpwe?page=1&pub_unit=0&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Flivehealthy%2Fyellow-corn-tortilla-frozen-kulit-nachos-100-jagung-500gr-12cm-15cm%3Fsrc%3Dtopads&management_type=1&src=directory&pub_domain=0&dv=desktop&t=desktop&pub_id=0,,Jakarta Pusat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
"Gelita gelatine sheet (lembar) halal, repacked 10 lembar",Rp33.000,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHsnRH_n7oAJNbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsJRoArfoAKDUMoFyaUEH_nOHmFircYpq9z2Qfdi6seDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHp1DHsyNoiFaoprf9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHsjNbsHpos1FH_JFH_rRos1Obm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-Q1NW_M2jqJN13_zHucxt_92CPJNI3_uo8_nO33OVHJh13_u6uVg2_BzsH1NE_9Pq17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QAxN_M20HBxEeMgozsxR3AJdPOxEeMgozsxRZ3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_320o1hk_926qBuR_uzVP7O1ypo6qB1hZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_jzgoJhke_Coucrp_M2u8JNk3_-vzVjhZ3dFvZUDUMoDP9o7g9-wq3zwPsUi6s1hHsjpbm-FrMBsguYiq3ei6sJFo_nDUMP5y3hwq3ei6soY?pub_id=0&t=desktop&dv=desktop&pub_domain=0&pub_unit=0&page=1&management_type=1&src=directory&ob=23&r=https%3A%2F%2Fwww.tokopedia.com%2Fberkatrasabandung%2Fgelita-gelatine-sheet-lembar-halal-repacked-10-lembar%3Fsrc%3Dtopads,,Bandung,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Edo Puff Pastry Sheet | Kulit Pastry Zuppa Frozen Siap Pakai,Rp44.800,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jFHsyNo_UFbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRHsJRoArfoAKDUMoFyaUEH_nOHmFircYpq9z2Qfdi6s1DUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHp1DHsyNoiFaopHh9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpUdbsj7opjf6An7o_JaoAy7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O_oAoozcDF_1zVH7OJqpCozJ1p_1z0H1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32oP1O1Z_V-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ3O6Q1Nkgcx6uVj7_VztqJOEe9z6zOjO_9jFouBWz_CHuVjO_Bz3q1N1ypV68jOR3Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81Nkqp-y8j-M_1ydPOKh6IPy8j-M_1ydP7B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OEZ_zHqMDF_S20HjYJe_C6uJuN_jzgHJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1NJu_uHqjjO_32VH1OE19xozcHO_Bzoq3gzv_7ibm-sQIupPcua9fBj9RyaUstaH_jO6mFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-FrMBsguYiq3ei6sJFo_nDUMP5y3hwq3ei6soY?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fkitakitofoods%2Fedo-puff-pastry-sheet-kulit-pastry-zuppa-frozen-siap-pakai-reguler-puff-be94c%3Fsrc%3Dtopads&page=1&pub_id=0&pub_unit=0&ob=23&management_type=1&t=desktop&src=directory&pub_domain=0,,Tangerang Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Citric Acid Monohydrate / Asam Sitrat / Citrun 1Kg,Rp20.000,https://www.tokopedia.com/multijayakimia/citric-acid-monohydrate-asam-sitrat-citrun-1kg?extParam=ivf%3Dfalse,,Tangerang Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Baking Soda / Soda Kue / Sodium Bicarbonate (1 kg),Rp13.900,https://www.tokopedia.com/maximum/baking-soda-soda-kue-sodium-bicarbonate-1-kg?extParam=ivf%3Dfalse,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Colatta Glaze Dark - Bahan Pelapis Rasa Coklat 1Kg,Rp64.320,https://www.tokopedia.com/colatta/colatta-glaze-dark-bahan-pelapis-rasa-coklat-1kg?extParam=ivf%3Dfalse,,Depok,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
BAKING SODA MERK Arm & Hammer Baking Soda 454gr,Rp23.500,https://www.tokopedia.com/kaifafoodcom/baking-soda-merk-arm-hammer-baking-soda-454gr?extParam=ivf%3Dtrue,,Jakarta Timur,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
TERMURAH!! 500 GRAM KULIT DIMSUM WARNA KULIT PANGSIT PUTIH KULIT GYOZA,Rp15.900,https://www.tokopedia.com/macaumee/termurah-500-gram-kulit-dimsum-warna-kulit-pangsit-putih-kulit-gyoza-rainbow-9cm?extParam=ivf%3Dtrue,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
La Dame in Vanilla Halal Vanilla Paste 100 ml,Rp143.500,https://www.tokopedia.com/kebunkita/la-dame-in-vanilla-halal-vanilla-paste-100-ml?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Kulit Lumpia Premium Jamin Kriuk Anti Sobek Tipis Lembut Halal MUI,Rp12.350,https://www.tokopedia.com/macaumee/kulit-lumpia-premium-jamin-kriuk-anti-sobek-tipis-lembut-halal-mui?extParam=ivf%3Dtrue,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Kulit Pangsit Siomay Dimsum Bulat Mee Macau | 150 Gram | Halal MUI,Rp6.400,https://www.tokopedia.com/macaumee/kulit-pangsit-siomay-dimsum-bulat-mee-macau-150-gram-halal-mui-putih?extParam=ivf%3Dtrue,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
[BTL] Koepoe Koepoe Soda Kue 81GR | Baking Soda Kupu Kupu,Rp4.980,https://www.tokopedia.com/tokokecil/btl-koepoe-koepoe-soda-kue-81gr-baking-soda-kupu-kupu?extParam=ivf%3Dfalse,,Jakarta Pusat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Sodium Bicarbonate / Soda Kue / Baking Soda 1Kg,Rp12.000,https://www.tokopedia.com/multijayakimia/sodium-bicarbonate-soda-kue-baking-soda-1kg?extParam=ivf%3Dfalse,,Tangerang Selatan,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Bubuk / Matcha Powder Premium 1kg,Rp339.500,https://www.tokopedia.com/homelabid/bubuk-matcha-powder-premium-1kg?extParam=ivf%3Dtrue,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
SILKY PUDDING Forisa Mom's Recipe 155 gr PUYO Puding Susu Smooth,Rp9.125,https://www.tokopedia.com/tobakingmurahonline/silky-pudding-forisa-mom-s-recipe-155-gr-puyo-puding-susu-smooth-pouch-leci-6d7fa?extParam=ivf%3Dfalse,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Nutrijell Nutrijel 10gram / Bubuk agar jelly pudding instan,Rp1.774,https://www.tokopedia.com/sumoboxid/nutrijell-nutrijel-10gram-bubuk-agar-jelly-pudding-instan-strawberry-5gr-6b10a?extParam=ivf%3Dfalse,,Kab. Bandung,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Puding Susu / My Vla Nutrijell Pudding Lapis Bubuk Vanilla Coklat,Rp4.899,https://www.tokopedia.com/suwitowiwi/puding-susu-my-vla-nutrijell-pudding-lapis-bubuk-vanilla-coklat-my-vla-coklat-94b5d?extParam=ivf%3Dfalse%26whid%3D17072606,,Bandung,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Banh Trang Rice Paper 400gr 22inch | Kulit Lumpia Vietnam | Rice Paper,Rp35.000,https://www.tokopedia.com/pedagangbermimpibesar/banh-trang-rice-paper-400gr-22inch-kulit-lumpia-vietnam-rice-paper?extParam=ivf%3Dfalse,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
nutrijell bubuk jelly instan kemasan ekonomis 10gr,Rp1.750,https://www.tokopedia.com/littledevan/nutrijell-bubuk-jelly-instan-kemasan-ekonomis-10gr-blackgrass-jely?extParam=ivf%3Dfalse,,Surabaya,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Colatta Glaze Tiramisu - Bahan Pelapis Rasa Tiramisu 1Kg,Rp55.460,https://www.tokopedia.com/colatta/colatta-glaze-tiramisu-bahan-pelapis-rasa-tiramisu-1kg?extParam=ivf%3Dfalse,,Depok,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
SODIUM BICARBONATE PURE 1 KG / SODA KUE / BAKING SODA ( FOOD GRADE ),Rp9.000,https://www.tokopedia.com/cliger/sodium-bicarbonate-pure-1-kg-soda-kue-baking-soda-food-grade-packing-biasa-682d2?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Van houten Cocoa Powder 165 g,Rp42.900,https://www.tokopedia.com/delfi-official/van-houten-cocoa-powder-165-g?extParam=ivf%3Dfalse,,Jakarta Timur,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Kelapa Parut Kering / Dried Coconut Flakes - HAYS,Rp11.900,https://www.tokopedia.com/haysfoodofficial/kelapa-parut-kering-dried-coconut-flakes-hays?extParam=ivf%3Dfalse,,Jakarta Utara,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
PEWARNA MAKANAN KOEPOE KOEPOE 30ML + PUTIH 50GR,Rp4.200,https://www.tokopedia.com/mettaol/pewarna-makanan-koepoe-koepoe-30ml-putih-50gr-biru?extParam=ivf%3Dfalse,,Jakarta Barat,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
