title,price,sold,location,link,category
Vanilla Beans Planifolia GRADE A Gourmet (Biji Vanila 100% ORGANIK),Rp119.000,Rp119.000,Jakarta Barat,https://www.tokopedia.com/https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_HR6A1dHpnfbm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_1Ro_HFoAeDUMoFyaUEHsnFHmFircYpq9z2Qfdi6sJDUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHp1DHsyNoiFaopyN9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpHpbsypHpJfHsrNo_UaopnRbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1N2oIB617BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32qq1YI3_zoqjj7_VPgH7Nk_9z6zJOR_9jFoVjauMhHu7gk_1Pz8JO1_9Bgqj-k_uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81Nkqp-y8j-M_1ydPOKh6IPy8j-M_1ydP7B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OE_92HqBBE_92VHjOkypu6uJBN_S2CH7B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1NkgpuHqBud_M2uoJNke_-ozJOR_7zgq3gzv_7ibm-sQIupPcua9fBj9RyaUstpoAKR6mFirI-2yfuwyMBjUstaHAnFbm-SQfVD9fBjUstpwe?pub_id=0&pub_domain=0&dv=desktop&pub_unit=0&management_type=1&ob=23&t=desktop&src=directory&page=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fbestvanilla%2Fvanilla-beans-planifolia-grade-a-gourmet-biji-vanila-100-organik-25-gram-14-15-cm%3Fsrc%3Dtopads,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
"Yellow Corn Tortilla Frozen (Kulit Nachos), 100% Jagung, 500gr, 15cm",Rp29.000,Rp29.000,Jakarta Pusat,https://www.tokopedia.com/https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_jp6AjRHpnDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rho_rOHpn7omFiyRCsUstaHpnFbm-FQRo2PcB5QiUEHiFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURHpVPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHpHX6AHfop1fHp1fopr7osHDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7HJN1yp-6qB1O_1zooJY1e9x6qjVNZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjV2_JoGrB2yQAoiH7203Ao6qMUpZMh-qMY2_1o-r7BWo9giQ1NDZ325q1NWZ_zqqMPN_32SPV2kyp-o8_nF_92C8jh1qc2quOu73uPoPO2Jz9xo8j22_1Po8JB2PfBiH72F3s-DPuKa1MhszsBF3jo-ojBke3BHe72fyfODQMV9o3gsZJ2f3jx3qMzc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMHaqIgszsBF3jo-ojBke3BHe72dgVP383u36_CgufzEZ325quxEZ_-vuV2M_1ydPOxEeMgy8j-M_1ydPOxEe3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92o8jOO_7zoHjNEu_-o8B1a_S2sHJNk_3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z_-ozcoO_BzCH1NJz_ooucPR_7z-o1O2Zsjibm-sQIupPcua9fBj9RyaUstpH_HDUSCaq3oB9f-2gmUEHsHFHmFigfYxQVY2gmUEHR7?pub_id=0&page=1&ob=23&t=desktop&src=directory&pub_unit=0&dv=desktop&pub_domain=0&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Flivehealthy%2Fyellow-corn-tortilla-frozen-kulit-nachos-100-jagung-500gr-15cm-15cm%3Fsrc%3Dtopads,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Vanilla Bean ( Biji Vanilla ) - 10 Gr,Rp55.000,Rp55.000,Jakarta Utara,https://www.tokopedia.com/https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEHpjNoAJaopJDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rho_rOHpn7omFiyRCsUstho_nFbm-FQRo2PcB5QiUEHaFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURosBPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpHpHXH_eRHseRHA17Hpeho_yDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7o1Y1e9PvucWR_1z0o1OJe_uvuJVdZ3BRqujp1SByH7ND3uxGqMVAZ_g-qjBO_320oJYJu9P6ucHF_S2V81Nk192617BpZ3O7QcuygIgsQu-Myp-6PMoWu3Bvq1BRZ3BRq3-W69ugHBu2_fB-HBBkqcOvzJBN_7HhQ1NE392HuVVE_1zoPJYI_Mhq1pVt392mq7O1z92oQ1BR392Vq1hAZSgsQ3hXyurOgB2IuSPyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D69PsQ_B0gVP6HVKaQcW-qMY2_1o-r7BW69BxufzFyMFN8MVI69PyHMh0Z325q1OAZ9o-Qjyh3BxGouKp1MxqH7O2_fBGgjOk3_u6QAxR3I2mgjOc63gozsxR3I2mgjOAZ9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBk_92o8_zd_jzs81NJyRP6uVVE_jzVH1N2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBku_-o1pzN_M208JNE3_-vuJOE_S2S8JBXHA7ibm-sQIupPcua9fBj9RyaUsta6AJ7HZFigR-5P9CwrRzay9zBgRji6BDhbA-Pbm-FrMBsguYiq3ei6sJOHAnDUMP5y3hwq3ei6soY?pub_domain=0&page=1&management_type=1&dv=desktop&pub_unit=0&ob=23&t=desktop&pub_id=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fhouseoforganix%2Fvanilla-bean-biji-vanilla-10-gr%3Fsrc%3Dtopads&src=directory,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
100% Dark Chocolate Powder / Bubuk Coklat Asli Premium 100g,Rp74.990,Rp74.990,Jakarta Barat,https://www.tokopedia.com/https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AedopyaH_UDUMVj9RzNrc1i6sJDUSupg9-wq3ei6iUFUiFiPcBWgZUEH_rho_rOHpn7omFiyRCsUstho_nFbm-FQRo2PcB5QiUEomFiy3hSUstiyfV7g3P5rSBwySBwrI-5gIusPmUDUMNOQ3-BrBY5gBYxgIHi6sJObm-XP3Oig9-wy3zp9R-BrZUEH_1DUMoxPVY2gIHi6BDpoZFaosjfbAURopzPbm-X9foxQMz2gcV7guYxgIHi6sJ7HmFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMzBgiUDUSgBrSo2Qfdi6i-fHiUDUMVj9RosQR-BUstpoArXHpUho_KFop1FHsU7o_eDUSHp9fh5gaUEUMuNZM2jZJ2M33NGPMep_Mh-qMY2_1H7HjO1__CvuVjO_92-H1O1u92o8MHFZ3BRqujp1SByH7ND3uxGqMVAZ_g-qBVO_BzzH1NJu_C6uVJh_jzuHJN11_--q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32qq1YI3_zoqjj7_VPgH7Nk_9z6zJOR_9jFoVjauMhHu7gk_1Pz8JO1_9Bgqj-k_uo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3Fd81Nkqp-y8j-M_1ydPOKh6IPy8j-M_1ydP7B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OE1_oHqjON_uzuoJOJypVozJBN_jzuHJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1N1Z_uHqj7a_M2z8jY1qRxoqBVN_Bzzq3gzv_7ibm-sQIupPcua9fBj9RyaUstpH_KR6ZFirI-2yfuwyMBjUstho_nFbm-SQfVD9fBjUstpwe?src=directory&pub_id=0&pub_unit=0&t=desktop&management_type=1&ob=23&page=1&dv=desktop&pub_domain=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fhomelabid%2F100-dark-chocolate-powder-bubuk-coklat-asli-premium-100g%3Fsrc%3Dtopads,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
"SAF INSTANT BLUE, Dry Yeast Ragi Kering Instant per 500 gr",Rp52.800,Rp52.800,Jakarta Barat,https://www.tokopedia.com/https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEH_yaHsjdH_J7bm-xgVY789CBUsthbm-Orfua9fBjUstiHmUDUSz2Q31i6sJRH_1Ro_HFoAeDUMoFyaUEH_eFHmFircYpq9z2Qfdi6s1DUMVDgaUEUMoxPcuSQR-N9f-N9RCaQfzOyReibm-XP3Oig9-wQfgwy3zpUsthoZFiQSuWyMua9fVjrOYag9Ji6sJObm-sy9zwq3zpUs2QHp1DHsyNoiFaoprF9ZFiQBYsy3Njq3zxPcuwy3zpUsthoAnDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-jg3yibm-fg9-pq3YXUstiPsUibm-xgVYpyfYagZUEHpUfbsKNH_ehH_JfH_jdH_U7bm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hk19xvuJ7h_jzS8jYJyRPvuVjp_S2uq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfB6Q1j73M2S81OkgRzqqMHa_9jFHJOEe92Hucxk3BPuPVB9_9PqzJud_92Gq1OI_9x-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBy8jja_OzqgjOc6IPy8j-M3I2mgjOc6IPy8jV2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_32gP1YJqRx6zJud_uzg8JY1gRxoqBV2_JoG8Bja69BqusBE3BPc8ujagfBvq1jh_1zuP1Ok3_zo8Bud_M20oJNE1_u6uVV2gBJYvZUDUMoDP9o7g9-wq3zwPsUi6sefoAUDUSCaq3oB9f-2gmUEH_eFHmFigfYxQVY2gmUEHR7?dv=desktop&src=directory&pub_domain=0&r=https%3A%2F%2Fwww.tokopedia.com%2Fsaf-instant%2Fsaf-instant-blue-dry-yeast-ragi-kering-instant-per-500-gr%3Fsrc%3Dtopads&t=desktop&pub_unit=0&management_type=2&pub_id=0&page=1&ob=23,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Dark cacao Raw cocoa powder Bubuk coklat cokelat organik premium murni,Rp36.500,Rp36.500,Jakarta Utara,https://www.tokopedia.com/https://www.tokopedia.com/orgenicst/dark-cacao-raw-cocoa-powder-bubuk-coklat-cokelat-organik-premium-murni-dark-125gr?extParam=ivf%3Dfalse%26whid%3D12669178,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
BAKING SODA MERK Arm & Hammer Baking Soda 454gr,Rp23.500,Rp23.500,Jakarta Timur,https://www.tokopedia.com/https://www.tokopedia.com/kaifafoodcom/baking-soda-merk-arm-hammer-baking-soda-454gr?extParam=ivf%3Dtrue%26whid%3D7884224,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
"Gelatin Bubuk / Gelatin Sapi, Gelatin Powder HAYS ",Rp19.900,Rp19.900,Jakarta Utara,https://www.tokopedia.com/https://www.tokopedia.com/haysfoodofficial/gelatin-bubuk-gelatin-sapi-gelatin-powder-hays?extParam=ivf%3Dfalse,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Baking Powder 45gr,Rp5.800,Rp5.800,Jakarta Utara,https://www.tokopedia.com/https://www.tokopedia.com/koepoe-koepoe/baking-powder-45gr?extParam=ivf%3Dfalse,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
Raw Cacao Powder,Rp121.000,Rp121.000,Jakarta Selatan,https://www.tokopedia.com/https://www.tokopedia.com/timurasaindonesi/raw-cacao-powder?extParam=ivf%3Dfalse,https://www.tokopedia.com/p/makanan-minuman/bahan-kue
